# Gnuplot File : positions of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 97 
4.02	-0.000184742 0.0173496 -0.000107112	
4.03	-0.00018474 0.0173496 -0.000107112	
4.04	-0.000184738 0.0173496 -0.000107111	
4.05	-0.000184736 0.0173496 -0.00010711	
4.06	-0.000184735 0.0173496 -0.000107109	
4.07	-0.000184733 0.0173496 -0.000107109	
4.08	-0.000184731 0.0173496 -0.000107108	
4.09	-0.00018473 0.0173496 -0.000107107	
4.1	-0.000184728 0.0173496 -0.000107106	
4.11	-0.000184726 0.0173496 -0.000107106	
4.12	-0.000184725 0.0173496 -0.000107105	
4.13	-0.000184723 0.0173496 -0.000107104	
4.14	-0.000184721 0.0173496 -0.000107103	
4.15	-0.00018472 0.0173496 -0.000107103	
4.16	-0.000184718 0.0173496 -0.000107102	
4.17	-0.000184716 0.0173496 -0.000107101	
4.18	-0.000184715 0.0173496 -0.000107101	
4.19	-0.000184713 0.0173496 -0.0001071	
4.2	-0.000184711 0.0173496 -0.000107099	
4.21	-0.00018471 0.0173496 -0.000107098	
4.22	-0.000184708 0.0173496 -0.000107098	
4.23	-0.000184707 0.0173496 -0.000107097	
4.24	-0.000184705 0.0173496 -0.000107096	
4.25	-0.000184703 0.0173496 -0.000107096	
4.26	-0.000184702 0.0173496 -0.000107095	
4.27	-0.0001847 0.0173496 -0.000107094	
4.28	-0.000184699 0.0173496 -0.000107094	
4.29	-0.000184697 0.0173496 -0.000107093	
4.3	-0.000184696 0.0173496 -0.000107092	
4.31	-0.000184694 0.0173496 -0.000107092	
4.32	-0.000184693 0.0173496 -0.000107091	
4.33	-0.000184691 0.0173496 -0.00010709	
4.34	-0.000184689 0.0173496 -0.00010709	
4.35	-0.000184688 0.0173496 -0.000107089	
4.36	-0.000184686 0.0173496 -0.000107089	
4.37	-0.000184685 0.0173496 -0.000107088	
4.38	-0.000184683 0.0173496 -0.000107087	
4.39	-0.000184682 0.0173496 -0.000107087	
4.4	-0.00018468 0.0173496 -0.000107086	
4.41	-0.000184679 0.0173496 -0.000107085	
4.42	-0.000184677 0.0173496 -0.000107085	
4.43	-0.000184676 0.0173496 -0.000107084	
4.44	-0.000184674 0.0173496 -0.000107084	
4.45	-0.000184673 0.0173496 -0.000107083	
4.46	-0.000184671 0.0173496 -0.000107082	
4.47	-0.00018467 0.0173496 -0.000107082	
4.48	-0.000184669 0.0173496 -0.000107081	
4.49	-0.000184667 0.0173496 -0.000107081	
4.5	-0.000184666 0.0173496 -0.00010708	
4.51	-0.000184664 0.0173496 -0.00010708	
4.52	-0.000184663 0.0173496 -0.000107079	
4.53	-0.000184661 0.0173495 -0.000107078	
4.54	-0.00018466 0.0173495 -0.000107078	
4.55	-0.000184659 0.0173495 -0.000107077	
4.56	-0.000184657 0.0173495 -0.000107077	
4.57	-0.000184656 0.0173495 -0.000107076	
4.58	-0.000184654 0.0173495 -0.000107076	
4.59	-0.000184653 0.0173495 -0.000107075	
4.6	-0.000184652 0.0173495 -0.000107075	
4.61	-0.00018465 0.0173495 -0.000107074	
4.62	-0.000184649 0.0173495 -0.000107074	
4.63	-0.000184648 0.0173495 -0.000107073	
4.64	-0.000184646 0.0173495 -0.000107073	
4.65	-0.000184645 0.0173495 -0.000107072	
4.66	-0.000184643 0.0173495 -0.000107072	
4.67	-0.000184642 0.0173495 -0.000107071	
4.68	-0.000184641 0.0173495 -0.000107071	
4.69	-0.000184639 0.0173495 -0.00010707	
4.7	-0.000184638 0.0173495 -0.00010707	
4.71	-0.000184637 0.0173495 -0.000107069	
4.72	-0.000184636 0.0173495 -0.000107069	
4.73	-0.000184634 0.0173495 -0.000107068	
4.74	-0.000184633 0.0173495 -0.000107068	
4.75	-0.000184632 0.0173495 -0.000107067	
4.76	-0.00018463 0.0173495 -0.000107067	
4.77	-0.000184629 0.0173495 -0.000107066	
4.78	-0.000184628 0.0173495 -0.000107066	
4.79	-0.000184627 0.0173495 -0.000107065	
4.8	-0.000184625 0.0173495 -0.000107065	
4.81	-0.000184624 0.0173495 -0.000107064	
4.82	-0.000184623 0.0173495 -0.000107064	
4.83	-0.000184622 0.0173495 -0.000107064	
4.84	-0.000184621 0.0173495 -0.000107063	
4.85	-0.000184619 0.0173495 -0.000107063	
4.86	-0.000184618 0.0173495 -0.000107062	
4.87	-0.000184617 0.0173495 -0.000107062	
4.88	-0.000184616 0.0173495 -0.000107061	
4.89	-0.000184615 0.0173495 -0.000107061	
4.9	-0.000184613 0.0173495 -0.000107061	
4.91	-0.000184612 0.0173495 -0.00010706	
4.92	-0.000184611 0.0173495 -0.00010706	
4.93	-0.00018461 0.0173495 -0.000107059	
4.94	-0.000184609 0.0173495 -0.000107059	
4.95	-0.000184608 0.0173495 -0.000107059	
4.96	-0.000184607 0.0173495 -0.000107058	
4.97	-0.000184606 0.0173495 -0.000107058	
4.98	-0.000184604 0.0173495 -0.000107057	
4.99	-0.000184603 0.0173495 -0.000107057	
5	-0.000184602 0.0173495 -0.000107057	
5.01	-0.000184601 0.0173495 -0.000107056	
5.02	-0.0001846 0.0173495 -0.000107056	
5.03	-0.000184599 0.0173495 -0.000107056	
5.04	-0.000184598 0.0173495 -0.000107055	
5.05	-0.000184597 0.0173495 -0.000107055	
5.06	-0.000184596 0.0173495 -0.000107054	
5.07	-0.000184595 0.0173495 -0.000107054	
5.08	-0.000184594 0.0173495 -0.000107054	
5.09	-0.000184593 0.0173495 -0.000107053	
5.1	-0.000184592 0.0173495 -0.000107053	
5.11	-0.000184591 0.0173495 -0.000107053	
5.12	-0.00018459 0.0173495 -0.000107052	
5.13	-0.000184589 0.0173495 -0.000107052	
5.14	-0.000184588 0.0173495 -0.000107052	
5.15	-0.000184587 0.0173495 -0.000107051	
5.16	-0.000184586 0.0173495 -0.000107051	
5.17	-0.000184585 0.0173495 -0.000107051	
5.18	-0.000184584 0.0173495 -0.00010705	
5.19	-0.000184583 0.0173495 -0.00010705	
5.2	-0.000184583 0.0173495 -0.00010705	
5.21	-0.000184582 0.0173495 -0.000107049	
5.22	-0.000184581 0.0173495 -0.000107049	
5.23	-0.00018458 0.0173495 -0.000107049	
5.24	-0.000184579 0.0173495 -0.000107049	
5.25	-0.000184578 0.0173495 -0.000107048	
5.26	-0.000184577 0.0173495 -0.000107048	
5.27	-0.000184577 0.0173495 -0.000107048	
5.28	-0.000184576 0.0173495 -0.000107047	
5.29	-0.000184575 0.0173495 -0.000107047	
5.3	-0.000184574 0.0173495 -0.000107047	
5.31	-0.000184574 0.0173495 -0.000107046	
5.32	-0.000184573 0.0173495 -0.000107046	
5.33	-0.000184572 0.0173495 -0.000107046	
5.34	-0.000184571 0.0173495 -0.000107046	
5.35	-0.000184571 0.0173495 -0.000107045	
5.36	-0.00018457 0.0173495 -0.000107045	
5.37	-0.000184569 0.0173495 -0.000107045	
5.38	-0.000184568 0.0173495 -0.000107044	
5.39	-0.000184568 0.0173495 -0.000107044	
5.4	-0.000184567 0.0173495 -0.000107044	
5.41	-0.000184566 0.0173495 -0.000107044	
5.42	-0.000184566 0.0173495 -0.000107043	
5.43	-0.000184565 0.0173495 -0.000107043	
5.44	-0.000184565 0.0173495 -0.000107043	
5.45	-0.000184564 0.0173495 -0.000107043	
5.46	-0.000184563 0.0173495 -0.000107042	
5.47	-0.000184563 0.0173495 -0.000107042	
5.48	-0.000184562 0.0173495 -0.000107042	
5.49	-0.000184562 0.0173495 -0.000107042	
5.5	-0.000184561 0.0173495 -0.000107041	
5.51	-0.000184561 0.0173495 -0.000107041	
